annotator_id,correct,total,accuracy_pct
E77YIW,19,25,76.0
K3I7DL,25,40,62.5
HW921K,83,133,62.40601503759399
LWVUH9,87,141,61.702127659574465
WFXBHI,81,135,60.0
LXXAMS,81,141,57.446808510638306
T989VT,27,47,57.446808510638306
R92D9T,16,28,57.14285714285714
BCLHKC,44,78,56.41025641025641
QG1L1V,16,30,53.333333333333336
XQEBMQ,73,141,51.77304964539007
Z7ZF6D,45,87,51.724137931034484
HV75KB,35,68,51.470588235294116
SS0N7G,52,102,50.98039215686274
MHY664,35,69,50.72463768115942
TFH22P,66,132,50.0
G1QFG2,13,26,50.0
KRR9OD,66,134,49.25373134328358
Q88P3E,68,141,48.226950354609926
I1TLYH,63,132,47.72727272727273
MDKFWC,26,55,47.27272727272727
A5VHUA,10,22,45.45454545454545
EKGPBX,16,39,41.02564102564102
R1Q6I8,2,5,40.0
FA0B9B,51,140,36.42857142857142
NHVU6N,15,46,32.608695652173914
