task_ids,text,labels,num_annotators
"[1, 3, 232, 41, 108, 7821, 174, 124, 445, 159]",I. Fogalom meghatározások,"{'5-Könnyen érthető': 11, '1-Nagyon nehezen érthető': 2}",13
"[160, 191, 2, 4, 233, 42, 201, 109, 7822, 175, 125, 446, 735]","e-azonosító szám: A Bank által kibocsátott virtuális kártyaszám, amely e-bank azonosító kártya kibocsátása esetén megegyezik az e-bank azonosító kártya számával. Az e-azonosító szám névre szóló, annak birtokosa csak természetes személy lehet.","{'4-Érthető': 10, '5-Könnyen érthető': 7, '3-Többé/kevésbé megértem': 2, '2-Nehezen érthető': 1}",20
"[736, 161, 192, 3, 5, 234, 43, 202, 110, 7823, 176, 126, 447]","e-bank azonosító kártya: A Bank által kibocsátott, bankkártyának nem minősülő műanyag lap, amely - mint távolról hozzáférést biztosító elektronikus fizetési eszköz - biztosítja, a PIN kód révén, kizárólag az Ügyfél/Felhasználó részére a K&H e-bank interneten keresztül történő igénybevételét. A Bank által kibocsátott azonosító kártya a Bank tulajdonát képezi. Az e-bank azonosító kártya névre szóló, annak birtokosa csak természetes személy lehet.","{'4-Érthető': 7, '5-Könnyen érthető': 2, '3-Többé/kevésbé megértem': 10, '2-Nehezen érthető': 1}",20
"[737, 162, 193, 4, 6, 235, 44, 203, 111, 7824, 177, 127]","Egyszer használatos jelszó: A Bank által az Ügyfél részére SMS üzenetben megküldött, egyszeri belépésre felhasználható jelszó.","{'4-Érthető': 2, '5-Könnyen érthető': 17}",19
"[128, 449, 738, 163, 194, 5, 7, 236, 45, 204, 112, 7825, 178]","Elektronikus banki művelet: Minden olyan megbízás és értesítés, amelyet az Ügyfél/Felhasználó közvetlenül számítógépes kommunikáció alkalmazásával, legalább részben elektronikus jelek formájában ad meg a Bank számára. Az elektronikus banki műveletek során az Ügyfél az aláírását a Bank által jóváhagyott formátumú személyazonosító kódolással helyettesíti.","{'1-Nagyon nehezen érthető': 1, '2-Nehezen érthető': 2, '5-Könnyen érthető': 3, '3-Többé/kevésbé megértem': 11, '4-Érthető': 4}",21
"[160, 1, 225, 291, 260, 102, 134, 104, 12, 209, 7922, 11379, 405, 694]","2. Ügyfélnek tekintendő az a természetes személy, jogi személy vagy jogi személyiséggel nem rendelkező szervezet, akinek az OTP Bank Nyrt. pénzügyi szolgáltatást (ideértve a kiegészítő pénzügyi szolgáltatást is) nyújt, vagy aki az OTP Bank Nyrt. befektetési szolgáltatási tevékenységét (ideértve a kiegészítő szolgáltatását is), vagy a vonatkozó jogszabályok alapján az OTP Bank Nyrt. által nyújtható egyéb szolgáltatását igénybe veszi, illetve aki ilyen szolgáltatás nyújtását kéri az OTP Bank Nyrt.-től.","{'4-Érthető': 4, '3-Többé/kevésbé megértem': 9, '2-Nehezen érthető': 6, '1-Nagyon nehezen érthető': 1}",20
"[161, 2, 226, 292, 261, 103, 135, 105, 13, 210, 7923, 11380, 406, 695]","4. Az OTP Bank Nyrt. az Üzletszabályzatban foglalt jogait és kötelezettségeit mindenkor a hatályos jogszabályok eltérést nem engedő rendelkezéseinek keretei között gyakorolja és teljesíti, az Üzletszabályzat bármely rendelkezése ennek megfelelően értelmezendő.","{'4-Érthető': 8, '1-Nagyon nehezen érthető': 1, '2-Nehezen érthető': 4, '3-Többé/kevésbé megértem': 7}",20
"[162, 3, 227, 293, 262, 104, 136, 106, 14, 211, 7924, 11381, 407, 696]","6. Amennyiben az OTP Bank Nyrt. valamely szolgáltatását megszünteti, az ezen szolgáltatásra az Ügyféllel kötött szerződést 30 napos felmondási idővel jogosult megszüntetni.","{'5-Könnyen érthető': 12, '4-Érthető': 8}",20
"[163, 4, 228, 294, 263, 105, 137, 107, 15, 212, 7925, 11382, 408, 697]","1. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél, illetőleg képviselője személyazonosságáról. E célból kérheti, hogy az Ügyfél vagy képviselője személyazonosságát hitelt érdemlően igazolja.","{'5-Könnyen érthető': 9, '4-Érthető': 9, '3-Többé/kevésbé megértem': 1}",19
"[164, 5, 229, 295, 264, 106, 138, 108, 16, 213, 7926, 11383, 409, 698]",2. Az OTP Bank Nyrt. a pénzmosás és a terrorizmus finanszírozása megelőzéséről és megakadályozásáról szóló jogszabály szerinti ügyfél-azonosítás rendjéről hirdetményben tájékoztatja Ügyfeleit.,"{'5-Könnyen érthető': 10, '2-Nehezen érthető': 2, '4-Érthető': 5, '3-Többé/kevésbé megértem': 3}",20
